sku,country,seller,collection_date,first_date_x_axis,last_date_x_axis,nb_x_axis_coords,hour_increment
B0000C73CQ,France,amazon,2024-01-24,2012-10-01 00:00:00,2024-01-01 00:00:00,2904,32.73016926651178
B0000C73CQ,France,new,2024-01-24,2012-10-01 00:00:00,2024-01-01 00:00:00,2574,32.49291598023064
B0002M6CVC,France,amazon,2024-01-24,2014-07-01 00:00:00,2024-01-01 00:00:00,2928,27.303834808259587
B0002M6CVC,France,new,2024-01-24,2013-01-01 00:00:00,2024-01-01 00:00:00,2720,31.59882005899705
B0009G5BRW,France,amazon,2024-01-24,2017-01-01 00:00:00,2024-01-01 00:00:00,2966,20.198880474152123
B0009G5BRW,France,new,2024-01-24,2016-07-01 00:00:00,2024-01-01 00:00:00,2350,21.681503461918894
B000CRBEJ2,France,amazon,2024-01-24,2014-07-01 00:00:00,2024-01-01 00:00:00,3008,27.42970036219954
B000CRBEJ2,France,new,2024-01-24,2015-01-01 00:00:00,2024-01-01 00:00:00,2534,25.721552005216825
B000EEL6J6,France,amazon,2024-01-24,2014-07-01 00:00:00,2024-01-01 00:00:00,3010,27.42970036219954
B000EEL6J6,France,new,2024-01-24,2014-07-01 00:00:00,2024-01-01 00:00:00,2496,27.44777594728172
B000P4IQN4,France,amazon,2024-01-24,2012-07-01 00:00:00,2024-01-01 00:00:00,2974,33.19855120184393
B000P4IQN4,France,new,2024-01-24,2012-01-01 00:00:00,2024-01-01 00:00:00,2550,34.682492581602375
B0014BYHGC,France,amazon,2024-01-24,2012-07-01 00:00:00,2024-01-01 00:00:00,3040,33.17670286278381
B0014BYHGC,France,new,2024-01-24,2012-07-01 00:00:00,2024-01-01 00:00:00,2514,33.24233432245302
B0016MNAAI,France,amazon,2024-01-24,2011-04-01 00:00:00,2024-01-01 00:00:00,2706,37.10321938267507
B0016MNAAI,France,new,2024-01-24,2011-04-01 00:00:00,2024-01-01 00:00:00,2802,37.10321938267507
B001ANXKMG,France,amazon,2024-01-24,2019-07-01 00:00:00,2024-01-01 00:00:00,2714,12.880913539967374
B001ANXKMG,France,new,2024-01-24,2018-08-01 00:00:00,2024-01-01 00:00:00,2412,15.58779127010174
B001BEAWXY,France,amazon,2024-01-24,2015-07-01 00:00:00,2024-01-01 00:00:00,2982,24.52912142152024
B001BEAWXY,France,new,2024-01-24,2015-04-01 00:00:00,2024-01-01 00:00:00,2444,25.2644056634837
B002DYIZH6,France,amazon,2024-01-24,2013-10-01 00:00:00,2024-01-01 00:00:00,2944,29.587092525518603
B002DYIZH6,France,new,2024-01-24,2012-07-01 00:00:00,2024-01-01 00:00:00,2578,33.19855120184393
B002OHKHOQ,France,amazon,2024-01-24,2016-01-01 00:00:00,2024-01-01 00:00:00,2884,22.98525073746313
B002OHKHOQ,France,new,2024-01-24,2016-01-01 00:00:00,2024-01-01 00:00:00,2322,23.12166172106825
B002ZRQ4BA,France,amazon,2024-01-24,2015-01-01 00:00:00,2024-01-01 00:00:00,2982,25.975633849193283
B002ZRQ4BA,France,new,2024-01-24,2015-01-01 00:00:00,2024-01-01 00:00:00,2458,25.975633849193283
B003UGCUFE,France,amazon,2024-01-24,2014-07-01 00:00:00,2024-01-01 00:00:00,2868,27.35763546798029
B003UGCUFE,France,new,2024-01-24,2014-07-01 00:00:00,2015-01-01 00:00:00,2538,27.815466312645203
B003UOWDCG,France,amazon,2024-01-24,2013-01-01 00:00:00,2013-07-01 00:00:00,2770,31.74041297935103
B003UOWDCG,France,new,2024-01-24,2013-01-01 00:00:00,2024-01-01 00:00:00,2964,31.76540362438221
B003Y6ISWO,France,amazon,2024-01-24,2018-01-01 00:00:00,2024-01-01 00:00:00,2720,17.235004916420845
B003Y6ISWO,France,new,2024-01-24,2018-01-01 00:00:00,2018-03-01 00:00:00,2212,17.480408297662166
B0061J9OME,France,amazon,2024-01-24,2015-10-01 00:00:00,2024-01-01 00:00:00,3008,23.992039800995023
B0061J9OME,France,new,2024-01-24,2015-10-01 00:00:00,2016-01-01 00:00:00,2416,24.191298571903022
B008YETL18,France,amazon,2024-01-24,2015-01-01 00:00:00,2024-01-01 00:00:00,2874,25.975633849193283
B008YETL18,France,new,2024-01-24,2013-07-01 00:00:00,2017-04-01 00:00:00,2772,30.5001647446458
B0092MEP58,France,amazon,2024-01-24,2013-04-01 00:00:00,2024-01-01 00:00:00,3024,31.033256503128086
B0092MEP58,France,new,2024-01-24,2013-10-01 00:00:00,2024-01-01 00:00:00,2314,29.587092525518603
B00H5NQVQW,France,amazon,2024-01-24,2016-05-01 00:00:00,2024-01-01 00:00:00,3032,22.13500164636154
B00H5NQVQW,France,new,2024-01-24,2016-05-01 00:00:00,2024-01-01 00:00:00,2370,22.03343166175025
B00REB9VTO,France,amazon,2024-01-24,2016-03-01 00:00:00,2024-01-01 00:00:00,2756,22.64688427299703
B00REB9VTO,France,new,2024-01-24,2016-03-01 00:00:00,2024-01-01 00:00:00,2896,22.617056305564702
B00X7792IE,France,amazon,2024-01-24,2016-03-01 00:00:00,2024-01-01 00:00:00,2888,22.617056305564702
B00X7792IE,France,new,2024-01-24,2016-03-01 00:00:00,2024-01-01 00:00:00,2560,22.64688427299703
B01539XFLI,France,amazon,2024-01-24,2016-01-01 00:00:00,2024-01-01 00:00:00,2722,23.09120842937109
B01539XFLI,France,new,2024-01-24,2016-01-01 00:00:00,2024-01-01 00:00:00,2560,23.09120842937109
B019H693FA,France,amazon,2024-01-24,2020-11-01 00:00:00,2024-01-01 00:00:00,0,
B019H693FA,France,new,2024-01-24,2017-11-01 00:00:00,2024-01-01 00:00:00,2960,17.79650971353309
B01BGBJ8Y0,France,amazon,2024-01-24,2016-07-01 00:00:00,2024-01-01 00:00:00,2882,21.65294698715838
B01BGBJ8Y0,France,new,2024-01-24,2016-07-01 00:00:00,2023-07-01 00:00:00,2610,20.198880474152123
B01FFOY006,France,amazon,2024-01-24,2018-05-01 00:00:00,2024-01-01 00:00:00,2736,16.366150806717155
B01FFOY006,France,new,2024-01-24,2017-09-01 00:00:00,2024-01-01 00:00:00,2450,18.3026706231454
B01GVQUX3U,France,amazon,2024-01-24,2016-11-01 00:00:00,2017-01-01 00:00:00,2640,20.83690280065898
B01GVQUX3U,France,new,2024-01-24,2016-11-01 00:00:00,2024-01-01 00:00:00,2504,20.8318407960199
B01HTTQ6A2,France,amazon,2024-01-24,2016-09-01 00:00:00,2024-01-01 00:00:00,2824,21.162989792558445
B01HTTQ6A2,France,new,2024-01-24,2016-09-01 00:00:00,2024-01-01 00:00:00,2550,21.162989792558445
B01HZ5K8UE,France,amazon,2024-01-24,2090-01-01 00:00:00,2024-01-01 00:00:00,2476,-191.2621487603305
B01HZ5K8UE,France,new,2024-01-24,2018-03-01 00:00:00,2024-01-01 00:00:00,1710,16.982409558579487
B01IZVSAKC,France,amazon,2024-01-24,2016-11-01 00:00:00,2024-01-01 00:00:00,2284,20.708209693372897
B01IZVSAKC,France,new,2024-01-24,2017-01-01 00:00:00,2024-01-01 00:00:00,2972,20.265609514370663
B01JP3M6O0,France,amazon,2024-01-24,2017-01-01 00:00:00,2024-01-01 00:00:00,2988,20.198880474152123
B01JP3M6O0,France,new,2024-01-24,2017-01-01 00:00:00,2017-03-01 00:00:00,2216,20.36483371748436
B01KHILJ5O,France,amazon,2024-01-24,2017-03-01 00:00:00,2024-01-01 00:00:00,2962,19.73263088574251
B01KHILJ5O,France,new,2024-01-24,2017-05-01 00:00:00,2024-01-01 00:00:00,2502,19.2759643916914
B01KHIM7OG,France,amazon,2024-01-24,2017-09-01 00:00:00,2024-01-01 00:00:00,2954,18.27856437273625
B01KHIM7OG,France,new,2024-01-24,2017-09-01 00:00:00,2022-01-01 00:00:00,2592,18.468842729970326
B01N1UX8RW,France,amazon,2024-01-24,2020-01-01 00:00:00,2024-01-01 00:00:00,1866,11.545604214685545
B01N1UX8RW,France,new,2024-01-24,2077-01-01 00:00:00,2024-01-01 00:00:00,2990,-152.98518274613104
B071CP6X88,France,amazon,2024-01-24,2018-07-01 00:00:00,2024-01-01 00:00:00,1724,15.884096147513992
B071CP6X88,France,new,2024-01-24,2018-07-01 00:00:00,2024-01-01 00:00:00,3026,15.947107438016529
B073PD6YRQ,France,amazon,2024-01-24,2019-06-01 00:00:00,2024-01-01 00:00:00,2946,13.236746789594996
B073PD6YRQ,France,new,2024-01-24,2020-01-01 00:00:00,2024-01-01 00:00:00,1992,11.560830860534123
B073YQ5KSX,France,amazon,2024-01-24,2023-10-01 00:00:00,2024-01-01 00:00:00,0,
B073YQ5KSX,France,new,2024-01-24,2018-11-01 00:00:00,2024-01-01 00:00:00,2930,14.9120842937109
B073ZG6J9N,France,amazon,2024-01-24,2017-11-01 00:00:00,2024-01-01 00:00:00,2926,17.784797630799606
B073ZG6J9N,France,new,2024-01-24,2017-11-01 00:00:00,2019-09-01 00:00:00,2180,17.974299835255355
B075FC8ZJ3,France,amazon,2024-01-24,2018-03-01 00:00:00,2024-01-01 00:00:00,2974,16.848205465920316
B075FC8ZJ3,France,new,2024-01-24,2018-03-01 00:00:00,2024-01-01 00:00:00,2146,16.837117472852913
B079RRVLGQ,France,amazon,2024-01-24,2018-12-01 00:00:00,2024-01-01 00:00:00,2980,14.675008231807706
B079RRVLGQ,France,new,2024-01-24,2018-12-01 00:00:00,2024-01-01 00:00:00,2482,14.694362017804156
B07DGMWKK9,France,amazon,2024-01-24,2018-11-01 00:00:00,2024-01-01 00:00:00,2890,14.9120842937109
B07DGMWKK9,France,new,2024-01-24,2018-11-01 00:00:00,2024-01-01 00:00:00,2024,14.9120842937109
B07GS6ZS8J,France,amazon,2024-01-24,2018-10-01 00:00:00,2024-01-01 00:00:00,2846,15.277796216395618
B07GS6ZS8J,France,new,2024-01-24,2018-12-01 00:00:00,2024-01-01 00:00:00,2214,14.791901759044142
B07GTWD7Z7,France,amazon,2024-01-24,2018-11-01 00:00:00,2024-01-01 00:00:00,2844,14.9120842937109
B07GTWD7Z7,France,new,2024-01-24,2018-11-01 00:00:00,2024-01-01 00:00:00,2328,14.9120842937109
B07L9WLKZQ,France,amazon,2024-01-24,2020-12-01 00:00:00,2024-01-01 00:00:00,1574,8.904118616144975
B07L9WLKZQ,France,new,2024-01-24,2019-06-01 00:00:00,2024-01-01 00:00:00,3024,13.236746789594996
B07MVPRSHZ,France,amazon,2024-01-24,2000-01-01 00:00:00,2024-01-01 00:00:00,2762,69.82542316627945
B07MVPRSHZ,France,new,2024-01-24,2019-05-01 00:00:00,2024-01-01 00:00:00,2160,13.607178464606182
B0000C73CQ,Germany,amazon,2024-01-24,2013-01-01 00:00:00,2024-01-01 00:00:00,2950,31.723593287265548
B0000C73CQ,Germany,new,2024-01-24,2012-10-01 00:00:00,2024-01-01 00:00:00,2590,32.49291598023064
B0002M6CVC,Germany,amazon,2024-01-24,2014-01-01 00:00:00,2024-01-01 00:00:00,2954,28.59641109298532
B0002M6CVC,Germany,new,2024-01-24,2013-07-01 00:00:00,2024-01-01 00:00:00,2538,30.29417571569596
B0009G5BRW,Germany,amazon,2024-01-24,2010-04-01 00:00:00,2023-10-01 00:00:00,2958,38.7631837536849
B0009G5BRW,Germany,new,2024-01-24,2010-04-01 00:00:00,2024-01-01 00:00:00,2948,39.69443529799144
B000CRBEJ2,Germany,amazon,2024-01-24,2008-10-01 00:00:00,2024-01-01 00:00:00,3030,43.98815399802567
B000CRBEJ2,Germany,new,2024-01-24,2008-10-01 00:00:00,2024-01-01 00:00:00,2722,44.01712216002634
B000EEL6J6,Germany,amazon,2024-01-24,2012-04-01 00:00:00,2024-01-01 00:00:00,3010,33.91768192295028
B000EEL6J6,Germany,new,2024-01-24,2012-04-01 00:00:00,2024-01-01 00:00:00,2612,33.9624134520277
B000P4IQN4,Germany,amazon,2024-01-24,2010-01-01 00:00:00,2024-01-01 00:00:00,3008,40.40566348370102
B000P4IQN4,Germany,new,2024-01-24,2010-01-01 00:00:00,2010-10-01 00:00:00,2552,40.62512363996044
B0014BYHGC,Germany,amazon,2024-01-24,2011-07-01 00:00:00,2021-10-01 00:00:00,3038,36.233124794204805
B0014BYHGC,Germany,new,2024-01-24,2011-07-01 00:00:00,2012-04-01 00:00:00,2628,36.256832400395126
B0016MNAAI,Germany,amazon,2024-01-24,2014-07-01 00:00:00,2024-01-01 00:00:00,2608,27.37561616825501
B0016MNAAI,Germany,new,2024-01-24,2000-01-01 00:00:00,2024-01-01 00:00:00,2908,69.82542316627945
B001BEAWXY,Germany,amazon,2024-01-24,2012-01-01 00:00:00,2021-10-01 00:00:00,2904,34.75616979269496
B001BEAWXY,Germany,new,2024-01-24,2012-01-01 00:00:00,2024-01-01 00:00:00,2698,34.63681264405663
B002DYIZH6,Germany,amazon,2024-01-24,2015-01-01 00:00:00,2024-01-01 00:00:00,2850,25.975633849193283
B002DYIZH6,Germany,new,2024-01-24,2014-07-01 00:00:00,2016-10-01 00:00:00,2682,27.595653605531776
B002OHKHOQ,Germany,amazon,2024-01-24,2016-09-01 00:00:00,2024-01-01 00:00:00,3008,21.190900098911968
B002OHKHOQ,Germany,new,2024-01-24,2016-09-01 00:00:00,2017-09-01 00:00:00,2306,21.231071779744347
B002ZRQ4BA,Germany,amazon,2024-01-24,2017-01-01 00:00:00,2024-01-01 00:00:00,3038,20.18558736426456
B002ZRQ4BA,Germany,new,2024-01-24,2013-01-01 00:00:00,2024-01-01 00:00:00,2580,31.64030193633081
B003UOWDCG,Germany,amazon,2024-01-24,2012-01-01 00:00:00,2024-01-01 00:00:00,2990,34.45528987880773
B003UOWDCG,Germany,new,2024-01-24,2012-01-01 00:00:00,2012-07-01 00:00:00,2918,34.46234104988588
B003Y6ISWO,Germany,amazon,2024-01-24,2016-07-01 00:00:00,2024-01-01 00:00:00,3052,21.553588987217307
B003Y6ISWO,Germany,new,2024-01-24,2016-07-01 00:00:00,2019-03-01 00:00:00,2606,21.73302722204001
B0061J9OME,Germany,amazon,2024-01-24,2015-07-01 00:00:00,2024-01-01 00:00:00,2998,24.724378109452736
B0061J9OME,Germany,new,2024-01-24,2015-07-01 00:00:00,2024-01-01 00:00:00,2364,24.74078991038832
B008YETL18,Germany,amazon,2024-01-24,2013-01-01 00:00:00,2024-01-01 00:00:00,3000,31.723593287265548
B008YETL18,Germany,new,2024-01-24,2013-01-01 00:00:00,2013-07-01 00:00:00,2662,31.910437932169906
B0092MEP58,Germany,amazon,2024-01-24,2018-01-01 00:00:00,2024-01-01 00:00:00,1858,17.31445505432993
B0092MEP58,Germany,new,2024-01-24,2018-01-01 00:00:00,2018-07-01 00:00:00,3038,17.480408297662166
B00H5NQVQW,Germany,amazon,2024-01-24,2017-11-01 00:00:00,2024-01-01 00:00:00,3034,17.784797630799606
B00H5NQVQW,Germany,new,2024-01-24,2017-11-01 00:00:00,2018-11-01 00:00:00,2188,17.880039331366763
B00REB9VTO,Germany,amazon,2024-01-24,2015-11-01 00:00:00,2024-01-01 00:00:00,2864,23.60435212660732
B00REB9VTO,Germany,new,2024-01-24,2015-11-01 00:00:00,2024-01-01 00:00:00,3014,23.57326308857425
B01539XFLI,Germany,amazon,2024-01-24,2016-01-01 00:00:00,2024-01-01 00:00:00,3010,23.09120842937109
B01539XFLI,Germany,new,2024-01-24,2016-01-01 00:00:00,2016-07-01 00:00:00,2420,23.25716167270333
B019H693FA,Germany,amazon,2024-01-24,2019-11-01 00:00:00,2024-01-01 00:00:00,1526,12.027658873888706
B019H693FA,Germany,new,2024-01-24,2017-01-01 00:00:00,2024-01-01 00:00:00,2974,20.198880474152123
B01BGBJ8Y0,Germany,amazon,2024-01-24,2016-05-01 00:00:00,2024-01-01 00:00:00,2810,22.120434353405727
B01BGBJ8Y0,Germany,new,2024-01-24,2077-01-01 00:00:00,2024-01-01 00:00:00,2542,-152.98518274613104
B01FFOY006,Germany,amazon,2024-01-24,2017-09-01 00:00:00,2024-01-01 00:00:00,2524,18.27856437273625
B01FFOY006,Germany,new,2024-01-24,2017-09-01 00:00:00,2019-09-01 00:00:00,2306,18.444517616068488
B01GVQUX3U,Germany,amazon,2024-01-24,2016-11-01 00:00:00,2024-01-01 00:00:00,2912,20.776711875620244
B01GVQUX3U,Germany,new,2024-01-24,2016-11-01 00:00:00,2017-03-01 00:00:00,2336,20.929586776859505
B01HTTQ6A2,Germany,amazon,2024-01-24,2017-01-01 00:00:00,2024-01-01 00:00:00,2888,20.198880474152123
B01HTTQ6A2,Germany,new,2024-01-24,2017-01-01 00:00:00,2024-01-01 00:00:00,2540,20.198880474152123
B01HZ5K8UE,Germany,amazon,2024-01-24,2018-05-01 00:00:00,2024-01-01 00:00:00,2686,16.366150806717155
B01HZ5K8UE,Germany,new,2024-01-24,2018-11-01 00:00:00,2024-01-01 00:00:00,2078,14.98114455838571
B01IZVSAKC,Germany,amazon,2024-01-24,2017-01-01 00:00:00,2024-01-01 00:00:00,2318,20.198880474152123
B01IZVSAKC,Germany,new,2024-01-24,2017-01-01 00:00:00,2024-01-01 00:00:00,3026,20.265609514370663
B01JP3M6O0,Germany,amazon,2024-01-24,2016-11-01 00:00:00,2024-01-01 00:00:00,3026,20.680935133355284
B01JP3M6O0,Germany,new,2024-01-24,2017-01-01 00:00:00,2024-01-01 00:00:00,2224,20.212191103789127
B01KHILJ5O,Germany,amazon,2024-01-24,2017-01-01 00:00:00,2022-03-01 00:00:00,3030,20.32773938795657
B01KHILJ5O,Germany,new,2024-01-24,2019-01-01 00:00:00,2024-01-01 00:00:00,2560,14.430029634507738
B01KHIM7OG,Germany,amazon,2024-01-24,2017-01-01 00:00:00,2024-01-01 00:00:00,2950,20.18558736426456
B01KHIM7OG,Germany,new,2024-01-24,2017-01-01 00:00:00,2024-01-01 00:00:00,2824,20.198880474152123
B01N1UX8RW,Germany,amazon,2024-01-24,2020-12-01 00:00:00,2023-06-01 00:00:00,2090,7.207112281857095
B01N1UX8RW,Germany,new,2024-01-24,2017-09-01 00:00:00,2024-01-01 00:00:00,2928,18.27856437273625
B071CP6X88,Germany,amazon,2024-01-24,2017-11-01 00:00:00,2024-01-01 00:00:00,1760,17.81998021760633
B071CP6X88,Germany,new,2024-01-24,2017-11-01 00:00:00,2024-01-01 00:00:00,2950,17.93826750746764
B073PD6YRQ,Germany,amazon,2024-01-24,2019-01-01 00:00:00,2024-01-01 00:00:00,2756,14.430029634507738
B073PD6YRQ,Germany,new,2024-01-24,2018-08-01 00:00:00,2024-01-01 00:00:00,2152,15.711544823023486
B073YQ5KSX,Germany,amazon,2024-01-24,2018-07-01 00:00:00,2024-01-01 00:00:00,1524,16.042567342866644
B073YQ5KSX,Germany,new,2024-01-24,2017-11-01 00:00:00,2018-01-01 00:00:00,2960,18.14166943797805
B073ZG6J9N,Germany,amazon,2024-01-24,2017-11-01 00:00:00,2024-01-01 00:00:00,3026,17.79650971353309
B073ZG6J9N,Germany,new,2024-01-24,2017-11-01 00:00:00,2024-01-01 00:00:00,2190,17.81998021760633
B075FC8ZJ3,Germany,amazon,2024-01-24,2017-11-01 00:00:00,2024-01-01 00:00:00,3018,17.79650971353309
B075FC8ZJ3,Germany,new,2024-01-24,2017-11-01 00:00:00,2024-01-01 00:00:00,2144,17.79650971353309
B079RRVLGQ,Germany,amazon,2024-01-24,2018-07-01 00:00:00,2024-01-01 00:00:00,2980,15.884096147513992
B079RRVLGQ,Germany,new,2024-01-24,2018-07-01 00:00:00,2023-03-01 00:00:00,2822,13.47479406919275
B07DGMWKK9,Germany,amazon,2024-01-24,2018-08-01 00:00:00,2024-01-01 00:00:00,2584,15.639117550214028
B07DGMWKK9,Germany,new,2024-01-24,2018-09-01 00:00:00,2024-01-01 00:00:00,2486,15.39413895291406
B07GS6ZS8J,Germany,amazon,2024-01-24,2018-11-01 00:00:00,2024-01-01 00:00:00,2932,14.971239669421488
B07GS6ZS8J,Germany,new,2024-01-24,2018-11-01 00:00:00,2024-01-01 00:00:00,1970,14.971239669421488
B07GTWD7Z7,Germany,amazon,2024-01-24,2018-12-01 00:00:00,2024-01-01 00:00:00,2970,14.675008231807706
B07GTWD7Z7,Germany,new,2024-01-24,2071-01-01 00:00:00,2024-01-01 00:00:00,2152,-135.66282515640435
B07L9WLKZQ,Germany,amazon,2024-01-24,2020-09-01 00:00:00,2024-01-01 00:00:00,1572,9.630069238377844
B07L9WLKZQ,Germany,new,2024-01-24,2047-01-01 00:00:00,2024-01-01 00:00:00,3020,-66.38919986829107
B07MVPRSHZ,Germany,amazon,2024-01-24,2017-01-01 00:00:00,2024-01-01 00:00:00,2810,20.34626865671642
B07MVPRSHZ,Germany,new,2024-01-24,2019-07-01 00:00:00,2024-01-01 00:00:00,2442,13.111922949186317
